name,dem,gni,geo,
Algeria,3.5,4060,AG,1
Australia,9.09,53190,WEOG,2
Brazil,6.97,9140,GRULAC,3
Canada,9.15,44860,WEOG,4
Chile,7.97,14670,GRULAC,5
Colombia,6.96,6190,GRULAC,6
Costa Rica,8.07,11510,GRULAC,7
Cuba,3,7230,GRULAC,8
Czechia,7.69,20260,EEG,9
Ecuador,6.27,6120,GRULAC,10
Egypt,3.36,2800,AG,11
Finland,9.14,47750,WEOG,12
France,7.8,41080,WEOG,13
Germany,8.68,47180,WEOG,14
Guatemala,5.6,4410,GRULAC,15
Haiti,4.91,800,GRULAC,16
Honduras,5.63,2330,GRULAC,17
Hungary,6.63,14590,EEG,18
Indonesia,6.39,3840,APG,19
Iran,2.45,5470,APG,20
Iraq,4.06,5030,APG,21
Ireland,9.15,59770,WEOG,22
Israel,7.79,40850,APG,23
Kenya,5.11,1620,AG,24
Maldives,0,9310,APG,25
Mexico,6.19,9180,GRULAC,26
Morocco,4.99,3090,AG,27
Myanmar,3.83,1310,APG,28
Namibia,6.25,5250,AG,29
Netherlands,8.89,51260,WEOG,30
New Zealand,9.26,40820,WEOG,31
Nicaragua,3.63,2030,GRULAC,32
Nigeria,4.44,1960,AG,33
Norway,9.87,80790,WEOG,34
Palestine,4.39,3710,APG,35
Paraguay,6.24,5680,GRULAC,36
Peru,6.6,6530,GRULAC,37
Philippines,6.71,3830,APG,38
Poland,6.67,14150,EEG,39
Republic of Korea,8,30600,APG,40
Senegal,6.15,1410,AG,41
Sierra Leone,4.66,500,AG,42
Slovakia,7.1,18330,EEG,43
Slovenia,7.5,24840,EEG,44
South Africa,7.24,5720,AG,45
Spain,8.08,29450,WEOG,46
Sri Lanka,7.83,4060,APG,47
Sweden,9.39,55040,WEOG,48
Switzerland,9.03,83580,WEOG,49
Thailand,4.63,6610,APG,50
Togo,3.1,650,AG,51
Turkey,4.37,10380,WEOG,52
Uganda,5.2,620,AG,53
United Arab Emirates,2.76,41010,APG,54
United Kingdom,8.53,41340,WEOG,55
United States,7.96,62850,WEOG,56
Uruguay,8.38,15650,GRULAC,57
Venezuela,3.16,13080,GRULAC,58
Argentina,3.62,12370,GRULAC,59
Japan,7.99,41340,APG,60
Suriname,6.98,4990,GRULAC,61
Democratic Republic of Congo,1.49,490,AG,62
Liberia,5.35,600,AG,63
Sao Tome & Principe,0,1890,AG,64
Iceland,9.58,67950,WEOG,65
"Trinidad and Tobago
",7.16,16240,GRULAC,66
Burkina Faso,4.75,660,AG,67
Mozambique,3.85,440,AG,68
Belgium,7.78,45340,WEOG,69
Guyana,6.67,4760,GRULAC,70
Marshall Islands,0,4740,APG,71
Botswana,7.81,7750,AG,72
Papua New Guinea,6.03,2530,APG,73
Mongolia,6.5,3580,APG,74
Bangladesh,5.57,1750,APG,75
Cambodia,3.59,1380,APG,76
Italy,7.71,33540,WEOG,77
Zambia,5.61,1430,AG,78
Zimbabwe,3.16,1790,AG,79
Bulgaria,7.03,8860,EEG,80
Estonia,7.97,20940,EEG,81
Latvia,7.38,16740,EEG,82
Singapore,6.38,58770,APG,83
Tanzania,5.41,1020,AG,84
Angola,3.62,3370,AG,85
Equatorial Guinea,1.92,7050,AG,86
Panama,7.05,14370,GRULAC,87
Austria,8.29,49260,WEOG,88
Denmark,9.22,60190,WEOG,89
Greece,7.29,19600,WEOG,90
Ghana,6.63,2130,AG,91
Uzbekistan,2.01,2020,APG,92
Niger,3.76,380,AG,93
Belize,0,4720,GRULAC,94
Bolivia,5.7,3370,GRULAC,95
Solomon Islands,0,2000,APG,96
Gabon,3.61,6800,AG,97
Cote d'Ivoire,4.15,1610,AG,99
India,7.23,2020,APG,98
Lesotho,6.64,1380,AG,100